Warning for input phase error for LV 6-10K UPS,Warning for input phase error for LV 6-10K UPS,128,U,3,0
Warning for maintain switch open,Warning for maintain switch open,129,U,3,0
EMD Channels 1 Abnormal,EMD Channels 1 Abnormal,130,K,2,1
EMD Channels 2 Abnormal,EMD Channels 2 Abnormal,131,K,2,1
EMD Channels 3 Abnormal,EMD Channels 3 Abnormal,132,K,2,1
EMD Channels 4 Abnormal,EMD Channels 4 Abnormal,133,K,2,1
EMD Channels 5 Abnormal: smoke alarm,EMD Channels 5 Abnormal: smoke alarm,134,K,2,1
EMD Channels 6 Abnormal,EMD Channels 6 Abnormal,135,K,2,1
EMD Channels 7 Abnormal,EMD Channels 7 Abnormal,136,K,2,1
EMD Channels 8 Abnormal,EMD Channels 8 Abnormal,137,K,2,1
